Date;Time;PM1;PM2.5;PM10
2021-02-16;22:15:53;80;145;179
2021-02-16;22:21:37;77;138;158
2021-02-16;22:35:22;75;138;163
2021-02-16;23:01:02;78;145;170
2021-02-16;23:02:02;78;145;170
2021-02-16;23:10:02;78;146;180
2021-02-16;23:20:02;77;137;159
2021-02-16;23:30:02;76;144;181
2021-02-16;23:40:01;81;145;164
2021-02-16;23:50:01;85;157;191
2021-02-17;00:00:02;85;152;175
2021-02-17;00:10:01;87;153;174
2021-02-17;00:20:02;80;148;168
2021-02-17;00:30:02;75;142;173
2021-02-17;00:40:02;77;144;169
2021-02-17;00:50:02;81;151;179
2021-02-17;01:00:02;86;165;186
2021-02-17;01:10:02;86;163;193
2021-02-17;01:20:01;78;151;179
2021-02-17;01:30:02;84;151;172
2021-02-17;01:40:02;80;154;188
2021-02-17;01:50:01;86;165;205
2021-02-17;02:00:02;82;159;197
2021-02-17;02:10:01;84;163;188
2021-02-17;02:20:02;82;154;206
2021-02-17;02:30:02;82;147;176
2021-02-17;02:40:01;84;154;187
2021-02-17;02:50:02;83;153;177
2021-02-17;03:00:02;84;156;184
2021-02-17;03:10:02;84;155;188
2021-02-17;03:20:01;82;143;158
2021-02-17;03:30:02;76;151;181
2021-02-17;03:40:02;80;154;183
2021-02-17;03:50:01;75;143;167
2021-02-17;04:00:02;76;136;158
2021-02-17;04:10:01;77;143;161
2021-02-17;04:20:01;70;136;161
2021-02-17;04:30:02;68;132;153
2021-02-17;04:40:02;68;128;153
2021-02-17;04:50:02;71;138;161
2021-02-17;05:00:02;72;138;165
2021-02-17;05:10:01;64;126;148
2021-02-17;05:20:02;68;125;148
2021-02-17;05:30:02;68;131;166
2021-02-17;05:40:02;68;131;145
2021-02-17;05:50:02;71;131;155
2021-02-17;06:00:01;70;130;158
2021-02-17;06:10:01;64;128;153
2021-02-17;06:20:02;68;127;146
2021-02-17;06:30:02;67;129;158
2021-02-17;06:40:02;61;119;150
2021-02-17;06:50:02;62;125;144
2021-02-17;07:00:02;66;131;153
2021-02-17;07:10:01;66;133;151
2021-02-17;07:20:02;74;142;167
2021-02-17;07:30:02;65;131;151
2021-02-17;07:40:02;62;118;138
2021-02-17;07:50:02;65;124;149
2021-02-17;08:00:01;63;131;158
2021-02-17;08:10:02;65;130;148
2021-02-17;08:20:02;61;117;144
2021-02-17;08:30:02;61;124;149
2021-02-17;08:40:02;55;111;133
2021-02-17;08:50:02;57;119;140
2021-02-17;09:00:02;48;101;117
2021-02-17;09:10:02;55;111;134
2021-02-17;09:20:02;50;92;125
2021-02-17;09:30:01;48;95;121
2021-02-17;09:40:02;46;95;109
2021-02-17;09:50:01;46;98;116
2021-02-17;10:00:02;45;81;94
2021-02-17;10:10:02;46;96;113
2021-02-17;10:20:01;47;93;110
2021-02-17;10:30:01;43;78;94
2021-02-17;10:40:01;44;91;106
2021-02-17;10:50:01;45;90;104
2021-02-17;11:00:02;46;91;104
